Plasmid,%GC,Size_bp,GC_bp,Putative_plasmid_T6SS,Transmissible_plasmid
NZ_CP006843.1,60.78689759036145,58432,35519,Absent,Transmissible
NZ_CP075645.1,51.24370743263251,6754,3461,Absent,Transmissible
NC_013264.1,48.95765472312704,3070,1503,Orphan island,Non-transmissible
NZ_LR214995.1,29.339225156715653,9731,2855,Absent,Transmissible
NZ_CP034756.1,54.07794554136017,108486,58667,Absent,Transmissible
NZ_CP064104.1,51.5428595017441,145347,74916,Absent,Transmissible
NC_011225.1,42.52567516165843,31548,13416,Absent,Transmissible
NZ_AP024932.1,66.7068484894146,13273,8854,Absent,Non-transmissible
NZ_CP080256.1,50.91895070399529,153055,77934,Absent,Transmissible
NZ_MF449287.1,41.84908266522535,33303,13937,Absent,Transmissible
NZ_CP033626.1,51.98390130801872,22859,11883,Absent,Non-transmissible
NC_023917.1,25.06280370404328,54535,13668,Absent,Transmissible
NZ_AP025614.1,68.94626886692801,213005,146859,Absent,Non-transmissible
NZ_CP015111.1,34.13444326595891,298877,102020,Absent,Non-transmissible
NZ_OW970441.1,48.19581125410043,7926,3820,Absent,Non-transmissible
NZ_CP018666.1,56.31399317406143,3223,1815,Absent,Transmissible
NZ_CP056367.1,48.97668393782384,7720,3781,Absent,Transmissible
NZ_CP063060.1,54.91336953710887,7734,4247,Absent,Transmissible
NZ_CP027510.1,35.57969275084013,33328,11858,Absent,Non-transmissible
NZ_CP011808.2,61.0687358551568,386625,236107,Absent,Transmissible
NC_011093.1,47.48091603053435,4585,2177,Absent,Transmissible
NZ_CP063847.1,59.06776784704152,8839,5221,Absent,Transmissible
NZ_CP049126.1,48.21899736147757,4548,2193,Absent,Transmissible
NZ_CP079174.1,52.601446875716434,157028,82599,Absent,Transmissible
NZ_CP085201.1,62.80732765547164,161798,101621,Absent,Non-transmissible
NZ_CP022519.1,51.74425708699902,130944,67756,Absent,Non-transmissible
NZ_CP039640.1,67.51512622574587,325924,220048,Absent,Non-transmissible
NZ_MT587865.1,52.07792849554024,80946,42155,Absent,Transmissible
NZ_CP097155.1,60.031975214243865,201406,120908,Absent,Non-transmissible
NZ_MW598232.1,49.822999087417394,99717,49682,Absent,Transmissible
NZ_CP069850.1,54.47525447525448,5698,3104,Absent,Non-transmissible
NZ_CP065907.1,57.0227205665388,6778,3865,Absent,Transmissible
NZ_CP088230.1,52.3245910947088,137379,71883,Absent,Transmissible
NZ_CP070189.1,51.362510322047896,2422,1244,Absent,Non-transmissible
NZ_CP064238.1,53.94683965784488,87095,46985,Absent,Transmissible
NZ_CP029391.2,37.35299980067769,5017,1874,Absent,Transmissible
NZ_CP060012.1,34.37177871950521,8731,3001,Absent,Non-transmissible
NZ_LR990737.1,58.55283706402915,67235,39368,Absent,Non-transmissible
NC_010419.1,29.508196721311474,35380,10440,Absent,Non-transmissible
NZ_CP072304.1,36.09790456066209,5679,2050,Absent,Transmissible
NZ_CP056532.1,53.34562129113469,111220,59331,Absent,Transmissible
NZ_LR134413.1,41.48320387869193,20213,8385,Absent,Non-transmissible
NZ_CP082022.1,55.0303512787342,10049,5530,Absent,Transmissible
NZ_CP035336.1,46.61736178467508,8248,3845,Absent,Non-transmissible
NZ_CP033895.1,52.43100237385404,125113,65598,Orphan island,Transmissible
NZ_CP097541.1,60.12933975832782,190506,114550,Absent,Transmissible
NZ_CP066725.1,32.67045454545455,1408,460,Absent,Non-transmissible
NZ_CP010364.1,54.88051842851357,4938,2710,Absent,Transmissible
NZ_AP023004.1,32.515188335358445,8230,2676,Absent,Non-transmissible
NZ_CP060835.1,47.14441131436861,248180,117003,Absent,Transmissible
NZ_CP095124.1,48.517792431533294,16833,8167,Absent,Non-transmissible
NZ_CP080639.1,34.22875896438556,8227,2816,Absent,Non-transmissible
NC_007593.1,35.85822238215185,5558,1993,Absent,Transmissible
NZ_CP011520.2,59.74862864142302,75108,44876,Absent,Non-transmissible
NZ_LR890243.1,56.34502016754576,3223,1816,Absent,Non-transmissible
NZ_KT389472.1,44.062964799206746,8068,3555,Absent,Non-transmissible
NZ_CP065902.1,57.523860494157525,11211,6449,Absent,Transmissible
NZ_CP037102.1,22.88918205804749,1516,347,Absent,Non-transmissible
NZ_CP067425.2,60.996615758417214,46096,28117,Absent,Transmissible
NZ_LR025087.1,37.06676395476104,2741,1016,Absent,Non-transmissible
NZ_CP019366.1,31.704620166158627,33462,10609,Absent,Non-transmissible
NZ_CP058125.1,47.45429526243365,5087,2414,Absent,Transmissible
NZ_CP049127.1,49.69279921356598,4069,2022,Absent,Transmissible
NZ_LR135193.1,35.307229479065995,64154,22651,Absent,Transmissible
NC_004937.1,43.34901870767818,8713,3777,Absent,Non-transmissible
NZ_CP096194.1,47.05397610218377,4854,2284,Absent,Non-transmissible
NZ_CP016918.1,39.014866783596425,47892,18685,Absent,Transmissible
NZ_CP016741.1,32.9042638777152,3729,1227,Absent,Non-transmissible
NZ_CP031884.1,51.04931644799969,105259,53734,Absent,Transmissible
NC_002056.1,51.17132678397928,9263,4740,Absent,Transmissible
NZ_LC066398.1,57.67521712785296,9902,5711,Absent,Non-transmissible
NZ_CP013497.1,57.80647157312368,439584,254108,T6SS,Transmissible
NZ_CP044651.1,25.60023141452126,3457,885,Absent,Non-transmissible
NZ_CP024585.1,63.03497942386832,9720,6127,Absent,Non-transmissible
NZ_CP025496.1,29.21382685836648,3269,955,Absent,Non-transmissible
NZ_CP033939.1,40.75595313090589,39685,16174,Absent,Non-transmissible
NC_017207.1,30.78820627275931,8513,2621,Absent,Transmissible
NZ_CP046261.1,52.41094272780949,66053,34619,Absent,Transmissible
NZ_CP083476.1,33.945880452342486,4952,1681,Absent,Non-transmissible
NC_001520.1,62.207602339181285,4104,2553,Absent,Transmissible
NZ_AP014805.1,49.06346434466426,83606,41020,Absent,Transmissible
NZ_MZ027735.1,30.57964399817435,2191,670,Absent,Non-transmissible
NZ_CP055576.1,42.532467532467535,616,262,Absent,Non-transmissible
NZ_CP041120.1,51.98876930276088,2137,1111,Absent,Non-transmissible
NZ_KT334335.1,46.27712363845768,244851,113310,Absent,Transmissible
NC_018225.1,58.60463178072487,95989,56254,Absent,Non-transmissible
NZ_CP020661.1,36.99670746652099,135458,50115,Absent,Non-transmissible
NZ_MF175186.1,41.8458028101357,33308,13938,Absent,Transmissible
NZ_AP024752.1,53.68109240661802,13841,7430,Absent,Transmissible
NZ_CP032388.1,52.17695050268204,124532,64977,Absent,Transmissible
NZ_MF344567.1,47.215158586192885,238703,112704,Absent,Transmissible
NZ_CP072587.1,35.638930622157275,242945,86583,Absent,Transmissible
NZ_CP091557.1,46.79777385589644,221549,103680,Absent,Non-transmissible
NZ_CP097669.1,52.69878119558909,49967,26332,Absent,Transmissible
NZ_CP015737.1,66.21727240350728,620539,410904,Absent,Non-transmissible
NT_187167.1,57.57394681804601,6694,3854,Absent,Non-transmissible
NZ_CP076353.1,66.98660103910309,73140,48994,Absent,Transmissible
NZ_CP066537.1,55.059642147117295,10060,5539,Absent,Transmissible
NZ_CP050953.1,66.00616185626619,716018,472616,Absent,Non-transmissible
NZ_CP016493.1,35.24554062981722,18164,6402,Absent,Non-transmissible
NC_018688.1,32.47630665290419,319710,103830,Absent,Non-transmissible
NZ_CP070442.1,46.651935616646085,46161,21535,Absent,Transmissible
NC_009470.1,59.62047307229721,37415,22307,Absent,Transmissible
NZ_CP082905.1,54.41746799128725,94115,51215,Absent,Transmissible
NZ_CP037023.1,25.1984126984127,504,127,Absent,Non-transmissible
NZ_CP024682.1,55.543395908746525,71274,39588,Absent,Non-transmissible
NZ_CP092416.1,44.19671453662568,48395,21389,Absent,Transmissible
NZ_CP027354.1,46.44490644490645,57720,26808,Absent,Non-transmissible
NZ_CP015721.1,26.30181030264905,14307,3763,Absent,Non-transmissible
NZ_CP055855.1,45.64969604863222,5264,2403,Absent,Non-transmissible
NZ_KY075655.1,41.814850414514,33292,13921,Absent,Transmissible
NZ_LT900343.1,59.955340528470416,2687,1611,Absent,Non-transmissible
NZ_CP030878.1,44.8666203743888,276504,124058,Absent,Transmissible
NZ_CP031178.1,39.71105697658682,29556,11737,Absent,Transmissible
NZ_AP014943.1,30.683885049108767,27490,8435,Absent,Non-transmissible
NZ_MH161192.1,53.53141826657253,117559,62931,Absent,Transmissible
NZ_CP039608.1,55.05819158460161,3351,1845,Absent,Transmissible
NZ_CP097705.1,49.709244756503736,111090,55222,Absent,Non-transmissible
NZ_AP023062.1,31.90231647393505,27067,8635,Absent,Transmissible
NZ_CP091663.1,47.16801523084246,2101,991,Absent,Non-transmissible
NZ_CP018263.1,25.643343507865698,85180,21843,Absent,Non-transmissible
NZ_CP068958.1,46.291813816912025,50402,23332,Absent,Transmissible
NZ_KT845955.1,49.8451813262034,108837,54250,Absent,Transmissible
NZ_CP040072.1,49.03275234629381,5221,2560,Absent,Transmissible
NZ_CP027115.1,64.95664238640305,57660,37454,Absent,Non-transmissible
NZ_CP055411.1,60.801393728223,1148,698,Absent,Non-transmissible
NZ_CP089339.1,58.90266420469533,3791,2233,Absent,Non-transmissible
NZ_CP028167.1,41.84656958414652,33305,13937,Absent,Transmissible
NZ_CP012016.1,29.452290733723736,2903,855,Absent,Non-transmissible
NZ_CP021928.1,39.94144501786423,60456,24147,Absent,Transmissible
NZ_CP045394.1,58.81986818914218,171913,101119,Absent,Transmissible
NZ_CP025687.1,35.95214162964884,185046,66528,Absent,Transmissible
NZ_CP010245.1,62.87739564190076,7618,4790,Absent,Non-transmissible
NZ_CP081910.1,43.542435424354245,8943,3894,Absent,Transmissible
NZ_KY075651.1,42.94141515028559,64078,27516,Absent,Transmissible
NZ_CP069136.1,41.76842217031217,37672,15735,Absent,Transmissible
NZ_LR890276.1,51.96629213483146,2136,1110,Absent,Non-transmissible
NZ_CP037748.1,30.0576396106964,42332,12724,Absent,Transmissible
NZ_CP035344.1,42.98485224733052,4027,1731,Absent,Non-transmissible
NZ_LR135315.1,36.87700045724737,4374,1613,Absent,Transmissible
NZ_KX009062.1,53.22286572286572,55944,29775,Absent,Transmissible
NZ_CP034854.1,23.78428927680798,3208,763,Absent,Non-transmissible
NZ_CP096257.1,61.46547838223873,184131,113177,Absent,Transmissible
NC_006976.1,39.665224750799325,5317,2109,Absent,Transmissible
NZ_CP029691.1,50.03766165787895,78329,39194,Absent,Transmissible
NZ_CP062840.1,43.3865622175354,3319,1440,Absent,Non-transmissible
NZ_CP027475.1,29.98423068258617,4439,1331,Absent,Transmissible
NZ_CP032836.1,50.62001771479185,76772,38862,Absent,Non-transmissible
NZ_CP065551.1,36.093923528478506,6303,2275,Absent,Transmissible
NZ_LR890550.1,50.68106777100006,89345,45281,Absent,Non-transmissible
NZ_CP067880.1,53.66904924392084,55682,29884,Absent,Non-transmissible
NZ_CP054442.1,29.89947706397161,36907,11035,Absent,Non-transmissible
NZ_CP097494.1,54.332838607746446,41774,22697,Absent,Transmissible
NZ_CP071257.1,49.24041017850361,5266,2593,Absent,Non-transmissible
NZ_CP075479.1,49.84725050916497,102128,50908,Absent,Non-transmissible
NC_015062.1,52.053445873726176,616549,320935,T6SS,Non-transmissible
NZ_CP072867.1,61.8869587303542,519704,321629,Absent,Non-transmissible
NZ_CP034001.1,32.353591160220994,4525,1464,Absent,Transmissible
NZ_CP067451.1,53.98025016458196,113925,61497,Absent,Non-transmissible
NZ_CP048363.1,42.062226945330025,33876,14249,Absent,Transmissible
NZ_CP045473.1,29.03697996918336,25960,7538,Absent,Transmissible
NZ_CP015223.1,39.04251830801181,9149,3572,Absent,Transmissible
NC_017209.1,31.467025572005383,14860,4676,Absent,Transmissible
NZ_CP027613.1,51.5892127428905,191856,98977,Absent,Non-transmissible
NZ_CP012923.1,49.87526638454313,99011,49382,Absent,Transmissible
NC_016079.1,56.098765432098766,4050,2272,Absent,Non-transmissible
NZ_CP053710.1,61.040797946974806,354209,216212,Absent,Non-transmissible
NZ_CP040081.1,30.88075085896254,11933,3685,Absent,Non-transmissible
NZ_CP045402.1,65.9485000867002,23068,15213,Absent,Transmissible
NZ_CP079949.1,62.961251382878906,71409,44960,Absent,Transmissible
NZ_CP029988.1,61.58704386592548,72676,44759,Absent,Transmissible
NZ_CP047143.1,35.03190046385451,179151,62760,Absent,Non-transmissible
NZ_MK439382.1,56.77827206743152,217821,123675,Absent,Transmissible
NZ_CP024187.1,40.6011941527692,58284,23664,Absent,Transmissible
NZ_CP040501.1,30.89021554101033,41709,12884,Absent,Transmissible
NZ_CP065188.1,47.93621013133208,3198,1533,Absent,Non-transmissible
NZ_CP085772.1,50.70607299945984,51836,26284,Absent,Non-transmissible
NZ_CP086519.1,40.71276846825584,4237,1725,Absent,Non-transmissible
NZ_MW598240.1,50.81076532249157,190129,96606,Absent,Transmissible
NZ_CP059839.1,47.75753456249166,82387,39346,Absent,Non-transmissible
NZ_CP004241.1,27.000410340582683,9748,2632,Absent,Non-transmissible
NZ_CP016441.1,58.77116170461179,68520,40270,Absent,Transmissible
NC_019984.1,51.68772642926571,22634,11699,Absent,Non-transmissible
NZ_CP033943.1,38.54011561706228,91336,35201,Absent,Non-transmissible
NZ_CP018474.1,61.71087850629991,45953,28358,Absent,Transmissible
NZ_CP016711.1,33.34906773660609,4237,1413,Absent,Non-transmissible
NZ_CP060050.1,50.28455874623967,199783,100460,Absent,Non-transmissible
NC_012752.1,45.24664588697655,59032,26710,Absent,Transmissible
NZ_CP084708.1,54.07723250201126,124300,67218,Absent,Transmissible
NZ_AP022067.1,47.5130636733114,5167,2455,Absent,Transmissible
NZ_CP020839.1,46.8061827023272,57580,26951,Absent,Transmissible
NZ_MG764548.1,52.7152640753568,217419,114613,Absent,Transmissible
NZ_CP009443.1,31.91140278917145,4876,1556,Absent,Non-transmissible
NZ_AP022938.1,33.8742197425841,72412,24529,Absent,Transmissible
NZ_CP037379.1,26.591760299625467,267,71,Absent,Non-transmissible
NZ_CP065414.1,58.905725996770585,48306,28455,Absent,Transmissible
NZ_CP083926.1,34.28125,3200,1097,Absent,Non-transmissible
NZ_CP083792.1,45.63570842003716,250854,114479,Absent,Transmissible
NZ_CP060079.1,51.39607032057911,1934,994,Absent,Non-transmissible
NZ_CP020888.1,61.81469074270774,48956,30262,Absent,Transmissible
NZ_MZ606380.1,52.40490957193043,69171,36249,Absent,Non-transmissible
NZ_CP042022.1,32.86653329522721,3499,1150,Absent,Non-transmissible
NZ_CP055114.1,50.81921161321672,131712,66935,Absent,Transmissible
NZ_LR890435.1,53.045573954506224,212029,112472,Absent,Non-transmissible
NZ_CP085179.1,39.03563505268996,57696,22522,Absent,Transmissible
NZ_MK134376.1,51.78319789562685,170312,88193,Absent,Transmissible
NZ_CP047661.1,41.39521475929663,6938,2872,Absent,Non-transmissible
NZ_CP092503.1,42.14099807627023,35348,14896,Absent,Transmissible
NZ_CP097097.1,47.531443589262246,90559,43044,Absent,Non-transmissible
NZ_CP035475.1,50.199203187250994,1506,756,Absent,Non-transmissible
NZ_MT742182.1,39.16509511819098,284751,111523,Absent,Non-transmissible
NZ_KM583823.1,33.943044906900326,9130,3099,Absent,Transmissible
NZ_CP023068.1,61.89515056576816,2011513,1245029,Orphan island,Non-transmissible
NZ_CP031542.1,33.5573476702509,2232,749,Absent,Non-transmissible
NZ_CP060473.1,61.13257017112625,42717,26114,Absent,Transmissible
NZ_FO082822.1,62.09332469215813,15430,9581,Absent,Transmissible
NZ_KY940546.1,53.75310631248085,88127,47371,Absent,Transmissible
NC_019097.1,49.131152020564926,98809,48546,Absent,Transmissible
NZ_CP049946.1,75.45621153667877,140231,105813,Absent,Non-transmissible
NC_025180.1,50.23180990470658,89513,44964,Absent,Transmissible
NZ_CP081315.1,47.69817296103359,198299,94585,Absent,Transmissible
NZ_LT635656.1,53.998778998779,3276,1769,Absent,Non-transmissible
NZ_CP037120.1,31.51515151515152,825,260,Absent,Non-transmissible
NZ_CP041590.1,41.03576869257122,145071,59531,Absent,Non-transmissible
NZ_CP048321.1,46.24461808324031,50168,23200,Absent,Transmissible
NZ_CP016597.1,34.36691067998998,71854,24694,Absent,Transmissible
NC_015699.1,39.23655456222506,7047,2765,Absent,Non-transmissible
NZ_CP025459.1,55.059642147117295,10060,5539,Absent,Transmissible
NZ_LR890654.1,47.311118442758165,6062,2868,Absent,Transmissible
NZ_CP086255.1,68.1487159831353,31308,21336,Absent,Transmissible
NZ_CP044537.1,24.50503734148664,39902,9778,Absent,Non-transmissible
NZ_CP027161.1,52.89939916065586,207543,109789,Absent,Transmissible
NZ_CP043477.1,62.28566278362362,44381,27643,Absent,Transmissible
NZ_MG904997.1,51.90704418220629,49658,25776,Absent,Transmissible
NZ_CP076236.1,47.886683515391205,94567,45285,Absent,Non-transmissible
NZ_CP020385.1,68.86386581375962,238713,164387,T6SS,Non-transmissible
NZ_CP091696.1,45.04478474429356,3461,1559,Absent,Non-transmissible
NZ_CP083624.1,32.245098843409075,36573,11793,Absent,Transmissible
NZ_CP068482.1,33.2706177485105,28701,9549,Absent,Transmissible
NZ_KX687704.1,58.9203043970673,50329,29654,Absent,Non-transmissible
NZ_CP096718.1,36.658165674884295,21174,7762,Absent,Non-transmissible
NZ_CP098185.1,47.6014652014652,68250,32488,Absent,Non-transmissible
NZ_CP051731.1,46.340223652998986,5902,2735,Absent,Transmissible
NZ_CP020696.1,58.53098155634159,126656,74133,Absent,Transmissible
NZ_CP058545.1,52.32430785055096,104999,54940,Absent,Transmissible
NC_014298.1,55.26563865266992,406285,224536,Absent,Non-transmissible
NZ_CP055328.1,52.52391293536462,120646,63368,Absent,Transmissible
NZ_CP016946.1,44.23859014911884,73029,32307,Absent,Non-transmissible
NZ_OW968349.1,47.46003552397868,2815,1336,Absent,Non-transmissible
NC_004533.1,51.87920921138388,4603,2388,Absent,Non-transmissible
NC_009957.1,60.52777425893083,126304,76449,Absent,Transmissible
NZ_CP049243.1,58.099739139863125,156789,91094,Absent,Non-transmissible
NZ_KY770023.1,41.756679071737615,33051,13801,Absent,Transmissible
NZ_CP022471.1,29.14352722525832,45197,13172,Absent,Transmissible
NC_014120.1,59.17086454483007,489136,289426,Absent,Transmissible
NZ_CP072863.1,46.53812445223488,3423,1593,Absent,Transmissible
NZ_CP041098.1,50.0481602774032,5191,2598,Absent,Transmissible
NZ_LC066384.1,61.30259623992838,13404,8217,Absent,Non-transmissible
NZ_CP039722.1,32.32262550410235,359550,116216,Absent,Transmissible
NZ_CP018625.1,51.05990783410138,111755,57062,Absent,Transmissible
NZ_CP024841.1,52.049140860377776,72689,37834,Absent,Non-transmissible
NZ_CP016158.1,30.80461025091612,146543,45142,Absent,Non-transmissible
NZ_CP036950.1,26.59413720157147,3309,880,Absent,Non-transmissible
NZ_MK347233.1,50.494714778336224,177476,89616,Absent,Non-transmissible
NZ_CP069931.1,42.31499051233397,1581,669,Absent,Non-transmissible
NZ_CP061710.1,36.65039429215171,7989,2928,Absent,Non-transmissible
NZ_CP047195.1,53.95043447317975,87117,47000,Absent,Transmissible
NZ_CP095626.1,52.92153236459709,94625,50077,Absent,Transmissible
NZ_CP019736.1,44.17550461854259,81844,36155,Absent,Non-transmissible
NZ_CP075088.1,30.89445374559185,28073,8673,Absent,Non-transmissible
NZ_CP066587.1,36.02884003675691,56588,20388,Absent,Transmissible
NZ_CP062823.1,38.22562979189485,2739,1047,Absent,Non-transmissible
NZ_AP017298.1,31.524651661307608,7464,2353,Absent,Transmissible
NZ_CP027163.1,48.96437448218724,1207,591,Absent,Non-transmissible
NZ_CP056375.1,49.35599201374379,107685,53149,Absent,Non-transmissible
NZ_CP066044.1,37.06637611166735,33958,12587,Absent,Non-transmissible
NZ_CP009359.1,40.60408980051279,47973,19479,Absent,Non-transmissible
NZ_CP017395.1,60.49395581492288,9596,5805,Absent,Non-transmissible
NZ_CP068762.1,47.948956026950455,42003,20140,Absent,Transmissible
NZ_CP026219.1,58.32058473567908,35298,20586,Absent,Transmissible
NZ_CP055284.1,38.9613680326805,161809,63043,Absent,Non-transmissible
NZ_CP040277.1,41.23389603187909,232629,95922,Absent,Transmissible
NZ_CP033207.1,34.88137455075163,167502,58427,Absent,Non-transmissible
NZ_CP031768.1,36.08433734939759,3320,1198,Absent,Non-transmissible
NZ_CP082142.1,55.52486986697513,138320,76802,Absent,Non-transmissible
NC_024990.1,35.31255762493085,27115,9575,Absent,Transmissible
NZ_MT074684.1,34.10375369042598,23710,8086,Absent,Transmissible
